seed,sample,ranking_score
42,0,0.9286858690056297
42,1,0.9306789463752734
42,2,0.9312105129124659
42,3,0.9297125040802383
42,4,0.9250732507243118
43,0,0.9284883581628463
43,1,0.9236543204019961
43,2,0.9168841791306122
43,3,0.9278832001772779
43,4,0.9309413875570358
44,0,0.9175895999538577
44,1,0.9199192826794896
44,2,0.9298437038057024
44,3,0.9259054432621078
44,4,0.9240727094361716
45,0,0.9250184291753775
45,1,0.9290680236768133
45,2,0.9275780348238055
45,3,0.9187060231167273
45,4,0.9279428025859493
46,0,0.9274926730200985
46,1,0.9288090768129454
46,2,0.9213418674584507
46,3,0.926686263790445
46,4,0.9283910598537845
